***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,29.8,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,36.7,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,54,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2606,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:15:28,,,,,,,,,,,,,,
Total Measurement Time in sec:,5.152,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,13min 54sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.5121571,99968.0,3074
905.7543059416729,1.4995795,108993.0,3450
909.6634166320162,1.5171051,118185.0,3593
913.5682143400267,1.5033431,129285.0,4057
917.4686990657044,1.5360444,143347.0,4172
921.3648708090495,1.5363598,160437.0,4666
925.2567295700619,1.5316836,180387.0,5303
929.1442753487415,1.5231504,201426.0,6039
933.0275081450884,1.5302763,220694.0,6509
936.9064279591028,1.5395947,237501.0,6856
942.0716119608264,1.5416847,256956.0,7382
945.9404681493976,1.506455,270636.0,8432
949.8050113556362,1.5152706,283621.0,8659
953.665241579542,1.520519,296982.0,8958
957.5211588211151,1.5225058,310733.0,9330
961.3727630803554,1.500904,324587.0,10243
965.2200543572632,1.5186381,339205.0,10276
969.0630326518381,1.5170673,353669.0,10753
972.9016979640804,1.5101185,368253.0,11377
976.7360502939899,1.5086552,382531.0,11858
981.841810983574,1.5167689,399901.0,12167
985.6660996880405,1.497692,411528.0,13083
989.4860754101744,1.5034981,422199.0,13244
993.3017381499756,1.5121398,431172.0,13259
997.113087907444,1.5301614,438051.0,12923
1000.9201246825796,1.507149,444216.0,13818
1004.7228484753826,1.5130104,449307.0,13789
1008.5212592858529,1.5056107,453601.0,14160
1012.3153571139904,1.5103539,456801.0,14105
1016.1051419597953,1.5120579,459312.0,14127
1021.1514793372398,1.5105524,461643.0,14248
1024.9312005576016,1.5206047,463069.0,13965
1028.706608795631,1.5023093,463868.0,14591
1032.4777040513272,1.5133435,464326.0,14239
1036.244486324691,1.5237815,466001.0,13951
1040.006955615722,1.5181634,466870.0,14159
1043.7651119244206,1.5170592,467033.0,14200
1047.518955250786,1.511902,467045.0,14370
1051.268485594819,1.5138383,467467.0,14319
1055.013702956519,1.5138049,467627.0,14325
1060.000617021824,1.5152658,468351.0,14299
1063.7357707580811,1.5153368,469050.0,14318
1067.4666115120056,1.5239398,469880.0,14062
1071.1931392835975,1.5149289,471228.0,14398
1074.9153540728564,1.5225339,472558.0,14188
1078.6332558797828,1.5137419,474087.0,14525
1082.3468447043765,1.5028169,476569.0,14973
1086.0561205466374,1.5244017,479445.0,14333
1089.7610834065654,1.5261872,481756.0,14343
1093.4617332841608,1.5158758,485147.0,14791
1098.3892240373264,1.5275638,489755.0,14535
1102.0798102894787,1.5273618,493535.0,14654
1105.7660835592987,1.5323161,497426.0,14602
