***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,27.82,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,38.23,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,56,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2571,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:11:22,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.439,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,13min 27sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.7400283,99968.0,1819
905.7543059416729,1.6337634,108993.0,2533
909.6634166320162,1.7254276,118185.0,2224
913.5682143400267,1.6625328,129285.0,2812
917.4686990657044,1.7110958,143347.0,2788
921.3648708090495,1.7251538,160437.0,3021
925.2567295700619,1.7601062,180387.0,3134
929.1442753487415,1.6741965,201426.0,4265
933.0275081450884,1.7568659,220694.0,3863
936.9064279591028,1.7673534,237501.0,4058
942.0716119608264,1.7500376,256956.0,4569
945.9404681493976,1.7294383,270636.0,5046
949.8050113556362,1.6968635,283621.0,5700
953.665241579542,1.691909,296982.0,6037
957.5211588211151,1.7485641,310733.0,5544
961.3727630803554,1.7101333,324587.0,6327
965.2200543572632,1.7173485,339205.0,6503
969.0630326518381,1.7301731,353669.0,6583
972.9016979640804,1.7122048,368253.0,7144
976.7360502939899,1.7074896,382531.0,7502
981.841810983574,1.7074703,399901.0,7843
985.6660996880405,1.7022836,411528.0,8168
989.4860754101744,1.705133,422199.0,8325
993.3017381499756,1.7062035,431172.0,8481
997.113087907444,1.7454947,438051.0,7871
1000.9201246825796,1.7143601,444216.0,8575
1004.7228484753826,1.7092961,449307.0,8775
1008.5212592858529,1.7121913,453601.0,8800
1012.3153571139904,1.700018,456801.0,9114
1016.1051419597953,1.7239385,459312.0,8673
1021.1514793372398,1.7180997,461643.0,8835
1024.9312005576016,1.7199802,463069.0,8824
1028.706608795631,1.7044516,463868.0,9161
1032.4777040513272,1.7273537,464326.0,8699
1036.244486324691,1.718753,466001.0,8905
1040.006955615722,1.7230386,466870.0,8834
1043.7651119244206,1.7135155,467033.0,9033
1047.518955250786,1.7072736,467045.0,9164
1051.268485594819,1.7266028,467467.0,8773
1055.013702956519,1.7404295,467627.0,8501
1060.000617021824,1.7366289,468351.0,8589
1063.7357707580811,1.7287151,469050.0,8760
1067.4666115120056,1.7322681,469880.0,8704
1071.1931392835975,1.714954,471228.0,9084
1074.9153540728564,1.7293806,472558.0,8812
1078.6332558797828,1.7219051,474087.0,8994
1082.3468447043765,1.7155197,476569.0,9175
1086.0561205466374,1.7278011,479445.0,8973
1089.7610834065654,1.7233565,481756.0,9109
1093.4617332841608,1.7223216,485147.0,9195
1098.3892240373264,1.7434775,489755.0,8841
