***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,25.99,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,39.05,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,58,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2540,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:8:44,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.293,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,13min 3sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.3408961,99968.0,4560
905.7543059416729,1.336349,108993.0,5024
909.6634166320162,1.3650774,118185.0,5099
913.5682143400267,1.3628175,129285.0,5607
917.4686990657044,1.317162,143347.0,6906
921.3648708090495,1.3443679,160437.0,7260
925.2567295700619,1.3440363,180387.0,8169
929.1442753487415,1.3531668,201426.0,8932
933.0275081450884,1.3450083,220694.0,9972
936.9064279591028,1.362491,237501.0,10308
942.0716119608264,1.3563193,256956.0,11312
945.9404681493976,1.3514346,270636.0,12049
949.8050113556362,1.3552034,283621.0,12518
953.665241579542,1.3436205,296982.0,13462
957.5211588211151,1.3511258,310733.0,13844
961.3727630803554,1.3404243,324587.0,14822
965.2200543572632,1.3520321,339205.0,15081
969.0630326518381,1.3433656,353669.0,16041
972.9016979640804,1.353719,368253.0,16309
976.7360502939899,1.3495182,382531.0,17106
981.841810983574,1.3455234,399901.0,18048
985.6660996880405,1.3519245,411528.0,18301
989.4860754101744,1.3542799,422199.0,18674
993.3017381499756,1.3535262,431172.0,19104
997.113087907444,1.3532084,438051.0,19423
1000.9201246825796,1.3575819,444216.0,19499
1004.7228484753826,1.3604201,449307.0,19594
1008.5212592858529,1.3679554,453601.0,19441
1012.3153571139904,1.3604378,456801.0,19920
1016.1051419597953,1.3657498,459312.0,19786
1021.1514793372398,1.3732706,461643.0,19545
1024.9312005576016,1.3651154,463069.0,19977
1028.706608795631,1.361667,463868.0,20171
1032.4777040513272,1.3660102,464326.0,19990
1036.244486324691,1.3750464,466001.0,19649
1040.006955615722,1.3683615,466870.0,19991
1043.7651119244206,1.3678185,467033.0,20023
1047.518955250786,1.3711609,467045.0,19870
1051.268485594819,1.3656484,467467.0,20142
1055.013702956519,1.3708937,467627.0,19907
1060.000617021824,1.3643824,468351.0,20239
1063.7357707580811,1.3644083,469050.0,20268
1067.4666115120056,1.3743577,469880.0,19844
1071.1931392835975,1.377862,471228.0,19741
1074.9153540728564,1.3724058,472558.0,20047
1078.6332558797828,1.3668244,474087.0,20372
1082.3468447043765,1.3751026,476569.0,20092
1086.0561205466374,1.3705555,479445.0,20426
1089.7610834065654,1.3607112,481756.0,20995
1093.4617332841608,1.3628069,485147.0,21041
1098.3892240373264,1.3723124,489755.0,20781
1102.0798102894787,1.3715539,493535.0,20978
1105.7660835592987,1.3757104,497426.0,20942
1109.4480438467858,1.3704221,501308.0,21364
1113.1256911519401,1.3779885,505725.0,21180
1116.7990254747617,1.3767443,509421.0,21396
1120.4680468152505,1.3702537,513217.0,21880
1124.1327551734068,1.3775456,517470.0,21694
1127.7931505492302,1.3753848,521690.0,21980
1131.4492329427212,1.3806828,526099.0,21897
1136.317300383747,1.380873,531329.0,22105
1139.9633191517948,1.3834844,535549.0,22147
1143.6050249375098,1.3992962,539808.0,21525
1147.2424177408923,1.3938472,543900.0,21962
1150.8754975619418,1.4043746,547908.0,21594
1154.504264400659,1.4135097,552170.0,21309
1158.1287182570431,1.4164227,556773.0,21343
1161.7488591310948,1.4172673,561098.0,21467
1165.3646870228135,1.4242973,565898.0,21303
1168.9762019321997,1.4452163,571300.0,20495
1172.583403859253,1.4396092,576602.0,20954
1177.3862973450289,1.4530998,584320.0,20585
1180.9834356466395,1.4650344,589396.0,20201
1184.576260965917,1.4841592,596143.0,19552
1188.1647733028622,1.4869224,602955.0,19650
1191.7489726574743,1.5046318,609704.0,19076
1195.3288590297539,1.5125524,617215.0,18962
1198.9044324197007,1.5024371,624471.0,19637
1202.4756928273148,1.5000764,632472.0,19997
1206.0426402525964,1.486209,640381.0,20904
1209.605274695545,1.4912666,648161.0,20913
1214.3487448691812,1.4966834,659999.0,21031
1217.9013156866872,1.4912416,668609.0,21574
1221.4495735218602,1.4767015,677405.0,22602
1224.9935183747004,1.4651386,686281.0,23516
1228.533150245208,1.4560943,695317.0,24327
1232.068469133383,1.4454534,704063.0,25244
1235.5994750392251,1.4311281,713007.0,26422
1239.1261679627346,1.4253571,721330.0,27088
1242.648547903911,1.4183128,730030.0,27863
1246.1666148627553,1.4196815,737591.0,28063
1250.850661724252,1.40872,746809.0,29140
1254.358665057653,1.4054183,753336.0,29619
1257.8623554087212,1.4088969,759907.0,29639
1261.3617327774568,1.3987981,766538.0,30601
1264.85679716386,1.4016988,774802.0,30725
1268.34754856793,1.3961434,784025.0,31491
1271.8339869896677,1.397905,794336.0,31776
1275.3161124290723,1.3941884,804198.0,32447
1278.7939248861444,1.4003406,813836.0,32374
1282.2674243608838,1.3955054,823595.0,33129
1286.8920479102408,1.3986603,834533.0,33326
1290.3554837595373,1.398072,842581.0,33693
1293.8146066265008,1.3962054,849301.0,34108
1297.2694165111318,1.3916197,856026.0,34743
1300.71991341343,1.3950783,862498.0,34728
1304.1660973333956,1.3940889,868068.0,35032
1307.6079682710283,1.3939131,872869.0,35240
1311.0455262263285,1.3979603,877616.0,35103
1314.4787711992958,1.3898033,881872.0,35942
1317.9077031899305,1.3934973,885520.0,35785
1322.4729034271481,1.3979361,888917.0,35557
1325.8917717923398,1.3923806,891687.0,36127
1329.3063271751987,1.3971033,894001.0,35829
1332.7165695757249,1.3987716,895438.0,35749
1336.1224989939185,1.3975121,896641.0,35901
1339.5241154297794,1.3998905,897974.0,35758
1342.9214188833075,1.3989811,898777.0,35865
1346.314409354503,1.4024245,898783.0,35582
1349.7030868433656,1.4088938,898350.0,35039
1353.0874513498954,1.4177991,896784.0,34268
1357.5932282749734,1.4273095,895293.0,33470
1360.9675291560604,1.4392366,892755.0,32471
1364.3375170548147,1.4541804,890430.0,31291
1367.7031919712363,1.4581391,888504.0,30940
1371.0645539053253,1.4632617,885825.0,30485
1374.4216028570813,1.4717453,881046.0,29734
1377.7743388265048,1.4790385,874030.0,29006
