***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,26.3,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,36.9,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,74,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2537,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:11:27,,,,,,,,,,,,,,
Total Measurement Time in sec:,8.139,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,11min 37sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.5272508,99968.0,2969
905.7543059416729,1.5216572,108993.0,3279
909.6634166320162,1.5063607,118185.0,3683
913.5682143400267,1.5398393,129285.0,3730
917.4686990657044,1.5809698,143347.0,3762
921.3648708090495,1.5652208,160437.0,4366
925.2567295700619,1.5715394,180387.0,4838
929.1442753487415,1.5621765,201426.0,5520
933.0275081450884,1.6036648,220694.0,5497
936.9064279591028,1.6019521,237501.0,5939
942.0716119608264,1.6044939,256956.0,6388
945.9404681493976,1.5719278,270636.0,7252
949.8050113556362,1.5599205,283621.0,7813
953.665241579542,1.5721991,296982.0,7953
957.5211588211151,1.5775684,310733.0,8219
961.3727630803554,1.568183,324587.0,8773
965.2200543572632,1.5587226,339205.0,9370
969.0630326518381,1.5584358,353669.0,9776
972.9016979640804,1.5631168,368253.0,10070
976.7360502939899,1.5849745,382531.0,9947
981.841810983574,1.556473,399901.0,11104
985.6660996880405,1.5780101,411528.0,10874
989.4860754101744,1.5766871,422199.0,11190
993.3017381499756,1.5781268,431172.0,11390
997.113087907444,1.5630316,438051.0,11981
1000.9201246825796,1.5894719,444216.0,11432
1004.7228484753826,1.5737603,449307.0,11989
1008.5212592858529,1.5844977,453601.0,11808
1012.3153571139904,1.5842896,456801.0,11897
1016.1051419597953,1.5817338,459312.0,12033
1021.1514793372398,1.5887958,461643.0,11899
1024.9312005576016,1.5904639,463069.0,11890
1028.706608795631,1.6158986,463868.0,11233
1032.4777040513272,1.6114447,464326.0,11360
1036.244486324691,1.6251425,466001.0,11047
1040.006955615722,1.6115679,466870.0,11419
1043.7651119244206,1.6186972,467033.0,11237
1047.518955250786,1.6108948,467045.0,11441
1051.268485594819,1.6228658,467467.0,11140
1055.013702956519,1.5997878,467627.0,11752
1060.000617021824,1.6133239,468351.0,11409
1063.7357707580811,1.6203369,469050.0,11243
1067.4666115120056,1.6245953,469880.0,11153
1071.1931392835975,1.6314437,471228.0,11010
1074.9153540728564,1.6318796,472558.0,11030
1078.6332558797828,1.6266788,474087.0,11199
1082.3468447043765,1.6296451,476569.0,11181
1086.0561205466374,1.6308234,479445.0,11218
1089.7610834065654,1.6173968,481756.0,11626
1093.4617332841608,1.6215651,485147.0,11596
1098.3892240373264,1.6211253,489755.0,11718
1102.0798102894787,1.6213992,493535.0,11801
1105.7660835592987,1.6259152,497426.0,11771
1109.4480438467858,1.6514298,501308.0,11186
1113.1256911519401,1.6393067,505725.0,11604
1116.7990254747617,1.6234667,509421.0,12123
1120.4680468152505,1.6376101,513217.0,11822
1124.1327551734068,1.6369536,517470.0,11938
1127.7931505492302,1.6385933,521690.0,11990
1131.4492329427212,1.6346364,526099.0,12202
1136.317300383747,1.6338724,531329.0,12345
1139.9633191517948,1.661059,535549.0,11688
1143.6050249375098,1.6572402,539808.0,11885
1147.2424177408923,1.6569172,543900.0,11984
1150.8754975619418,1.6615214,547908.0,11945
1154.504264400659,1.676493,552170.0,11630
1158.1287182570431,1.7066609,556773.0,10940
1161.7488591310948,1.7095453,561098.0,10952
1165.3646870228135,1.7225434,565898.0,10720
1168.9762019321997,1.7219151,571300.0,10838
1172.583403859253,1.7301146,576602.0,10734
1177.3862973450289,1.7481167,584320.0,10436
1180.9834356466395,1.7767065,589396.0,9856
1184.576260965917,1.7484905,596143.0,10638
1188.1647733028622,1.7724092,602955.0,10183
1191.7489726574743,1.7756681,609704.0,10220
1195.3288590297539,1.7827314,617215.0,10179
1198.9044324197007,1.8194834,624471.0,9463
1202.4756928273148,1.8403803,632472.0,9134
1206.0426402525964,1.8675187,640381.0,8688
1209.605274695545,1.8742653,648161.0,8658
1214.3487448691812,1.8926866,659999.0,8450
1217.9013156866872,1.8783762,668609.0,8847
1221.4495735218602,1.8667774,677405.0,9206
1224.9935183747004,1.843154,686281.0,9848
1228.533150245208,1.7978,695317.0,11076
1232.068469133383,1.79342,704063.0,11329
1235.5994750392251,1.7901735,713007.0,11559
1239.1261679627346,1.7609462,721330.0,12508
1242.648547903911,1.7506351,730030.0,12963
1246.1666148627553,1.7323967,737591.0,13659
1250.850661724252,1.7361088,746809.0,13712
1254.358665057653,1.733724,753336.0,13908
1257.8623554087212,1.719752,759907.0,14488
1261.3617327774568,1.7128072,766538.0,14850
1264.85679716386,1.7141141,774802.0,14965
1268.34754856793,1.7184124,784025.0,14994
1271.8339869896677,1.7236814,794336.0,15008
1275.3161124290723,1.7119879,804198.0,15609
1278.7939248861444,1.7049266,813836.0,16055
1282.2674243608838,1.7123272,823595.0,15973
1286.8920479102408,1.6889048,834533.0,17082
1290.3554837595373,1.7089971,842581.0,16467
1293.8146066265008,1.7167408,849301.0,16305
1297.2694165111318,1.711412,856026.0,16637
1300.71991341343,1.7224263,862498.0,16343
1304.1660973333956,1.7140466,868068.0,16769
1307.6079682710283,1.7000505,872869.0,17414
1311.0455262263285,1.7075994,877616.0,17207
1314.4787711992958,1.6969173,881872.0,17721
1317.9077031899305,1.7074735,885520.0,17367
1322.4729034271481,1.7034719,888917.0,17595
1325.8917717923398,1.7061086,891687.0,17543
1329.3063271751987,1.7042981,894001.0,17662
1332.7165695757249,1.7067697,895438.0,17590
1336.1224989939185,1.7107733,896641.0,17452
1339.5241154297794,1.7102753,897974.0,17498
1342.9214188833075,1.7095481,898777.0,17543
1346.314409354503,1.713605,898783.0,17380
1349.7030868433656,1.7063811,898350.0,17663
1353.0874513498954,1.7225456,896784.0,16988
1357.5932282749734,1.7182078,895293.0,17130
1360.9675291560604,1.7226144,892755.0,16909
1364.3375170548147,1.7190998,890430.0,17002
1367.7031919712363,1.7403256,888504.0,16156
1371.0645539053253,1.7440702,885825.0,15969
1374.4216028570813,1.7534637,881046.0,15543
1377.7743388265048,1.7714407,874030.0,14794
1381.1227618135954,1.7807833,865751.0,14342
1384.4668718183534,1.795715,857799.0,13730
1387.8066688407787,1.8123167,851759.0,13122
1392.2530224537172,1.847217,846500.0,12034
1395.5827558506994,1.8379054,843622.0,12253
1398.908176265349,1.8258549,841228.0,12562
1402.2292836976658,1.8399589,838489.0,12121
1405.54607814765,1.8353466,836065.0,12215
1408.8585596153016,1.8326339,834396.0,12267
1412.1667281006203,1.8349303,832187.0,12170
1415.4705836036064,1.8496224,830123.0,11736
1418.7701261242596,1.8452103,828244.0,11829
1422.0653556625803,1.8596241,827314.0,11430
1426.452285963379,1.8450323,826435.0,11808
1429.7374518762567,1.839009,825475.0,11959
1433.0183048068016,1.847679,824938.0,11715
1436.2948447550139,1.8459417,823959.0,11748
1439.5670717208932,1.8448356,823822.0,11776
1442.83498570444,1.8318151,823184.0,12125
1446.098586705654,1.8165494,821953.0,12540
1449.3578747245353,1.8138717,821135.0,12605
1452.612849761084,1.8228569,819413.0,12321
1455.8635118153,1.8097755,817492.0,12668
1459.1098608871832,1.7991498,814862.0,12940
1463.4316172327322,1.809553,811075.0,12575
1466.6679026791724,1.7920902,807671.0,13036
1469.8998751432798,1.7981889,803699.0,12791
1473.1275346250545,1.7707266,799396.0,13553
1476.3508811244967,1.7730088,795129.0,13410
1479.569914641606,1.7789694,790127.0,13144
1482.7846351763828,1.7664032,784937.0,13441
1485.9950427288268,1.7764964,779544.0,13042
1489.201137298938,1.7781698,773733.0,12895
1492.4029188867164,1.7586663,767463.0,13378
1496.6652519201257,1.7692292,758614.0,12906
1499.8569698824613,1.7661202,751802.0,12882
1503.044374862464,1.7618304,744297.0,12880
1506.2274668601342,1.7616966,735980.0,12740
1509.4062458754715,1.76365,728040.0,12546
1512.5807119084764,1.7668247,719703.0,12312
1515.7508649591482,1.7700075,710982.0,12074
1518.9167050274875,1.7641279,702409.0,12091
1522.078232113494,1.7713146,693280.0,11738
1525.235446217168,1.7713438,683935.0,11579
1529.4383559384378,1.7745008,671492.0,11286
1532.5855064166685,1.7753054,661352.0,11095
1535.7283439125667,1.7612044,650841.0,11279
1538.8668684261322,1.7652091,640156.0,10992
1542.001079957365,1.8030403,629036.0,9900
1545.130978506265,1.7612145,617445.0,10700
1548.2565640728321,1.773278,605527.0,10206
1551.3778366570666,1.7685316,594133.0,10124
1554.4947962589686,1.7856317,582894.0,9549
1557.6074428785378,1.7600242,571271.0,9927
1561.750929287668,1.76978,555940.0,9446
1564.853512281794,1.7565618,544812.0,9543
1567.9517822935875,1.7682042,533402.0,9096
1571.0457393230483,1.7497244,521915.0,9287
1574.1353833701762,1.754771,510788.0,8984
1577.2207144349716,1.7476312,499607.0,8933
1580.3017325174342,1.7475975,487992.0,8726
1583.378437617564,1.7315438,476265.0,8837
1586.4508297353614,1.7492756,464618.0,8276
1589.5189088708257,1.7376491,452782.0,8284
1593.6029719678163,1.760309,436897.0,7587
1596.6609874778378,1.7437035,425551.0,7678
1599.7146900055266,1.7528082,414191.0,7318
1602.7640795508826,1.7455298,402799.0,7237
1605.809156113906,1.7599947,391352.0,6801
1608.8499196945966,1.7323356,380811.0,7053
1611.8863702929546,1.7368691,370076.0,6783
1614.9185079089798,1.7344142,359798.0,6632
1617.9463325426723,1.7221727,349165.0,6620
1620.969844194032,1.7520478,338717.0,5995
1624.994483978883,1.7368538,325435.0,5965
1628.0079320047998,1.7339509,315463.0,5821
1631.017067048384,1.7612448,305570.0,5295
1634.0218891096354,1.7351838,295762.0,5442
1637.022398188554,1.7873276,286306.0,4672
1640.01859428514,1.7478366,276696.0,4945
1643.010477399393,1.752944,267004.0,4716
1645.9980475313137,1.7586799,257531.0,4489
1648.9813046809013,1.7818772,247817.0,4095
1651.9602488481564,1.7586895,238547.0,4158
1655.925465320868,1.7421259,225092.0,4076
1658.89434586268,1.7868353,214425.0,3503
1661.8589134221595,1.7452453,202241.0,3636
1664.819167999306,1.7467631,188046.0,3369
1667.77510959412,1.7818781,171566.0,2835
1670.7267382066013,1.7252578,154101.0,2901
1673.6740538367499,1.6922356,134892.0,2740
1676.6170564845656,1.7529324,115325.0,2037
1679.555746150049,1.7287961,97255.0,1816
1682.4901228331994,1.6710324,81017.0,1728
1686.3959159937713,1.7795951,63571.0,1056
1689.3202290514787,1.6106244,53566.0,1313
1692.2402291268534,1.8634565,45493.0,623
1695.1559162198953,1.6738733,39217.0,831
1698.0672903306045,1.6133021,33537.0,817
1700.9743514589811,1.4791844,29118.0,966
