***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,20.8,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,40.97,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,63,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2459,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:1:55,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.421,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,12min 17sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.5934912,99968.0,2549
905.7543059416729,1.6720978,108993.0,2319
909.6634166320162,1.5656517,118185.0,3213
913.5682143400267,1.6360222,129285.0,2989
917.4686990657044,1.5734167,143347.0,3828
921.3648708090495,1.6252924,160437.0,3802
925.2567295700619,1.6625869,180387.0,3923
929.1442753487415,1.63285,201426.0,4691
933.0275081450884,1.6260369,220694.0,5221
936.9064279591028,1.6272448,237501.0,5603
942.0716119608264,1.6116226,256956.0,6284
945.9404681493976,1.6253921,270636.0,6412
949.8050113556362,1.6004415,283621.0,7117
953.665241579542,1.6069157,296982.0,7342
957.5211588211151,1.6221591,310733.0,7417
961.3727630803554,1.6184577,324587.0,7814
965.2200543572632,1.6154847,339205.0,8222
969.0630326518381,1.6305667,353669.0,8280
972.9016979640804,1.6187615,368253.0,8859
976.7360502939899,1.6378386,382531.0,8807
981.841810983574,1.6126362,399901.0,9757
985.6660996880405,1.6305026,411528.0,9636
989.4860754101744,1.6224446,422199.0,10071
993.3017381499756,1.6103292,431172.0,10576
997.113087907444,1.6360439,438051.0,10127
1000.9201246825796,1.6506013,444216.0,9931
1004.7228484753826,1.6377287,449307.0,10347
1008.5212592858529,1.6352366,453601.0,10506
1012.3153571139904,1.6309118,456801.0,10686
1016.1051419597953,1.6595529,459312.0,10059
1021.1514793372398,1.6497858,461643.0,10340
1024.9312005576016,1.6513772,463069.0,10334
1028.706608795631,1.6668289,463868.0,9990
1032.4777040513272,1.6444771,464326.0,10528
1036.244486324691,1.658681,466001.0,10226
1040.006955615722,1.643276,466870.0,10615
1043.7651119244206,1.6653273,467033.0,10093
1047.518955250786,1.6632351,467045.0,10142
1051.268485594819,1.6515499,467467.0,10428
1055.013702956519,1.6671289,467627.0,10064
1060.000617021824,1.6698772,468351.0,10016
1063.7357707580811,1.6792403,469050.0,9817
1067.4666115120056,1.6906215,469880.0,9580
1071.1931392835975,1.6725801,471228.0,10015
1074.9153540728564,1.6741512,472558.0,10007
1078.6332558797828,1.6800035,474087.0,9905
1082.3468447043765,1.6897452,476569.0,9736
1086.0561205466374,1.6923137,479445.0,9737
1089.7610834065654,1.6904945,481756.0,9825
1093.4617332841608,1.68138,485147.0,10104
1098.3892240373264,1.6929859,489755.0,9931
1102.0798102894787,1.6825941,493535.0,10250
1105.7660835592987,1.6991237,497426.0,9945
1109.4480438467858,1.7282261,501308.0,9373
1113.1256911519401,1.6941662,505725.0,10227
1116.7990254747617,1.6959295,509421.0,10260
1120.4680468152505,1.7084376,513217.0,10043
1124.1327551734068,1.7071197,517470.0,10157
1127.7931505492302,1.7120175,521690.0,10125
1131.4492329427212,1.7137465,526099.0,10170
1136.317300383747,1.7094592,531329.0,10373
1139.9633191517948,1.7291902,535549.0,9991
1143.6050249375098,1.7272305,539808.0,10116
1147.2424177408923,1.7310687,543900.0,10103
1150.8754975619418,1.7282381,547908.0,10244
1154.504264400659,1.724497,552170.0,10413
1158.1287182570431,1.752242,556773.0,9850
1161.7488591310948,1.762267,561098.0,9700
1165.3646870228135,1.7789639,565898.0,9414
1168.9762019321997,1.7842911,571300.0,9388
1172.583403859253,1.7841136,576602.0,9479
1177.3862973450289,1.7881507,584320.0,9517
1180.9834356466395,1.7814916,589396.0,9748
1184.576260965917,1.8207221,596143.0,9008
1188.1647733028622,1.8165443,602955.0,9199
1191.7489726574743,1.8293351,609704.0,9032
1195.3288590297539,1.8494719,617215.0,8729
1198.9044324197007,1.8819634,624471.0,8195
1202.4756928273148,1.8818586,632472.0,8302
1206.0426402525964,1.9061806,640381.0,7948
1209.605274695545,1.9533262,648161.0,7217
1214.3487448691812,1.9224112,659999.0,7891
1217.9013156866872,1.9227341,668609.0,7988
1221.4495735218602,1.9073972,677405.0,8384
1224.9935183747004,1.8800454,686281.0,9046
1228.533150245208,1.8515333,695317.0,9787
1232.068469133383,1.8378208,704063.0,10228
1235.5994750392251,1.8231827,713007.0,10713
1239.1261679627346,1.7933391,721330.0,11609
1242.648547903911,1.7826781,730030.0,12041
1246.1666148627553,1.79586,737591.0,11802
1250.850661724252,1.7859607,746809.0,12225
1254.358665057653,1.7875075,753336.0,12288
1257.8623554087212,1.7737201,759907.0,12795
1261.3617327774568,1.7667323,766538.0,13116
1264.85679716386,1.7752473,774802.0,13000
1268.34754856793,1.7718191,784025.0,13259
1271.8339869896677,1.759559,794336.0,13818
1275.3161124290723,1.7600422,804198.0,13974
1278.7939248861444,1.7614719,813836.0,14095
1282.2674243608838,1.7623563,823595.0,14235
1286.8920479102408,1.7533882,834533.0,14725
1290.3554837595373,1.7627487,842581.0,14550
1293.8146066265008,1.7596518,849301.0,14771
1297.2694165111318,1.7588637,856026.0,14915
1300.71991341343,1.7578466,862498.0,15063
1304.1660973333956,1.7553123,868068.0,15249
1307.6079682710283,1.7601353,872869.0,15164
1311.0455262263285,1.7514625,877616.0,15554
1314.4787711992958,1.760856,881872.0,15295
1317.9077031899305,1.7607224,885520.0,15363
1322.4729034271481,1.7587538,888917.0,15492
1325.8917717923398,1.7534837,891687.0,15730
1329.3063271751987,1.7495587,894001.0,15914
1332.7165695757249,1.744428,895438.0,16129
1336.1224989939185,1.7646469,896641.0,15416
1339.5241154297794,1.7546067,897974.0,15800
1342.9214188833075,1.7498578,898777.0,15988
1346.314409354503,1.7521758,898783.0,15903
1349.7030868433656,1.7457843,898350.0,16131
1353.0874513498954,1.7688488,896784.0,15270
1357.5932282749734,1.7532806,895293.0,15801
1360.9675291560604,1.761242,892755.0,15470
1364.3375170548147,1.761065,890430.0,15436
1367.7031919712363,1.7767867,888504.0,14855
1371.0645539053253,1.7663623,885825.0,15170
1374.4216028570813,1.7803781,881046.0,14609
1377.7743388265048,1.7882605,874030.0,14232
1381.1227618135954,1.8095111,865751.0,13424
1384.4668718183534,1.8116288,857799.0,13236
1387.8066688407787,1.8376312,851759.0,12379
1392.2530224537172,1.8440527,846500.0,12122
1395.5827558506994,1.8681777,843622.0,11428
1398.908176265349,1.8453345,841228.0,12011
1402.2292836976658,1.8495958,838489.0,11855
1405.54607814765,1.8362364,836065.0,12190
1408.8585596153016,1.8545247,834396.0,11664
1412.1667281006203,1.8437625,832187.0,11925
1415.4705836036064,1.8634584,830123.0,11368
1418.7701261242596,1.8613297,828244.0,11398
1422.0653556625803,1.8750554,827314.0,11031
1426.452285963379,1.8703235,826435.0,11140
1429.7374518762567,1.8683009,825475.0,11179
1433.0183048068016,1.8445761,824938.0,11799
1436.2948447550139,1.8533612,823959.0,11549
1439.5670717208932,1.8460913,823822.0,11742
1442.83498570444,1.8296357,823184.0,12186
1446.098586705654,1.8370432,821953.0,11962
1449.3578747245353,1.820293,821135.0,12420
1452.612849761084,1.8278556,819413.0,12180
1455.8635118153,1.8175235,817492.0,12444
1459.1098608871832,1.8189602,814862.0,12363
1463.4316172327322,1.8090698,811075.0,12589
1466.6679026791724,1.8121349,807671.0,12448
1469.8998751432798,1.7885853,803699.0,13077
1473.1275346250545,1.7972518,799396.0,12750
1476.3508811244967,1.7889062,795129.0,12928
1479.569914641606,1.7739432,790127.0,13297
1482.7846351763828,1.7925041,784937.0,12657
1485.9950427288268,1.7889955,779544.0,12672
1489.201137298938,1.7756846,773733.0,12969
1492.4029188867164,1.7756814,767463.0,12864
1496.6652519201257,1.7649099,758614.0,13035
1499.8569698824613,1.7687238,751802.0,12805
1503.044374862464,1.774246,744297.0,12517
1506.2274668601342,1.7876124,735980.0,12002
