***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,22.35,,,,,,System Temp (C):,24.17,,,,,,,
Humidity (%):,40.83,,,,,,Humidity (%):,30.0,,,,,,
Battery Capacity (%):,61,,,,,,Lamp Intensity:,2449,,,,,,,
Lamp Intensity:,2481,,,,,,Data Date-Time:,19/12/12T12:44:54,,,,,,
Data Date-Time:,18/1/1T7:3:22,,,,,,,,,,,,,,
Total Measurement Time in sec:,4.429,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-8.441010207576937,0.055456735626328864,-8.452441567268157E-5,,,,,
Serial Number:,947R055,95UB122GC0A947R055,,,,,Pixel to Wavelength Coefficients:,1795.8685345940805,-0.9201399096881258,-2.3961012959508514E-4,,,,,
APP Version:,2.16.7,,,,,,,,,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,de:67:c:88:67:2c:2d:21,,,,,,Total Time(HH:MM:SS):,12min 30sec ,,,,,,,
Main Board Version:,D,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,B,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.8408822689969,1.534627,99968.0,2919
905.7543059416729,1.4980716,108993.0,3462
909.6634166320162,1.5001554,118185.0,3736
913.5682143400267,1.5050592,129285.0,4041
917.4686990657044,1.5282041,143347.0,4248
921.3648708090495,1.5756911,160437.0,4262
925.2567295700619,1.5435555,180387.0,5160
929.1442753487415,1.5566261,201426.0,5591
933.0275081450884,1.5086075,220694.0,6842
936.9064279591028,1.5633538,237501.0,6491
942.0716119608264,1.5310498,256956.0,7565
945.9404681493976,1.5477035,270636.0,7668
949.8050113556362,1.5351279,283621.0,8272
953.665241579542,1.5241215,296982.0,8884
957.5211588211151,1.5020485,310733.0,9780
961.3727630803554,1.5252315,324587.0,9685
965.2200543572632,1.5212663,339205.0,10214
969.0630326518381,1.5215329,353669.0,10643
972.9016979640804,1.5023627,368253.0,11582
976.7360502939899,1.5267916,382531.0,11373
981.841810983574,1.5080057,399901.0,12415
985.6660996880405,1.5257318,411528.0,12265
989.4860754101744,1.5098069,422199.0,13053
993.3017381499756,1.5336945,431172.0,12617
997.113087907444,1.5278152,438051.0,12993
1000.9201246825796,1.5250506,444216.0,13260
1004.7228484753826,1.534047,449307.0,13137
1008.5212592858529,1.5356069,453601.0,13215
1012.3153571139904,1.5249764,456801.0,13638
1016.1051419597953,1.5323857,459312.0,13481
1021.1514793372398,1.5348097,461643.0,13474
1024.9312005576016,1.5468191,463069.0,13147
1028.706608795631,1.5437853,463868.0,13262
1032.4777040513272,1.5438539,464326.0,13273
1036.244486324691,1.5448292,466001.0,13291
1040.006955615722,1.5449853,466870.0,13311
1043.7651119244206,1.5525075,467033.0,13087
1047.518955250786,1.5385426,467045.0,13515
1051.268485594819,1.5507262,467467.0,13153
1055.013702956519,1.549556,467627.0,13193
1060.000617021824,1.5645846,468351.0,12764
1063.7357707580811,1.5552427,469050.0,13061
1067.4666115120056,1.5676365,469880.0,12716
1071.1931392835975,1.5535134,471228.0,13174
1074.9153540728564,1.5565875,472558.0,13118
1078.6332558797828,1.5565362,474087.0,13162
1082.3468447043765,1.5669305,476569.0,12918
1086.0561205466374,1.5653613,479445.0,13043
1089.7610834065654,1.5698202,481756.0,12972
1093.4617332841608,1.5709289,485147.0,13030
1098.3892240373264,1.564758,489755.0,13342
1102.0798102894787,1.5634348,493535.0,13486
1105.7660835592987,1.5812178,497426.0,13047
1109.4480438467858,1.5794978,501308.0,13201
1113.1256911519401,1.5721034,505725.0,13546
1116.7990254747617,1.5798424,509421.0,13404
1120.4680468152505,1.590155,513217.0,13187
1124.1327551734068,1.5925552,517470.0,13223
1127.7931505492302,1.5811043,521690.0,13687
1131.4492329427212,1.5972159,526099.0,13300
1136.317300383747,1.5875981,531329.0,13733
1139.9633191517948,1.5878514,535549.0,13834
1143.6050249375098,1.5884129,539808.0,13926
1147.2424177408923,1.5971216,543900.0,13753
1150.8754975619418,1.6153461,547908.0,13285
1154.504264400659,1.599652,552170.0,13881
1158.1287182570431,1.6308671,556773.0,13026
1161.7488591310948,1.6309394,561098.0,13125
1165.3646870228135,1.6396308,565898.0,12975
1168.9762019321997,1.6385995,571300.0,13130
1172.583403859253,1.6364372,576602.0,13318
1177.3862973450289,1.6496779,584320.0,13091
1180.9834356466395,1.670623,589396.0,12583
1184.576260965917,1.6592742,596143.0,13064
1188.1647733028622,1.677474,602955.0,12671
1191.7489726574743,1.694473,609704.0,12321
1195.3288590297539,1.7110381,617215.0,12006
1198.9044324197007,1.7210616,624471.0,11870
1202.4756928273148,1.7400415,632472.0,11508
1206.0426402525964,1.7614677,640381.0,11091
1209.605274695545,1.7825834,648161.0,10693
1214.3487448691812,1.7962085,659999.0,10552
1217.9013156866872,1.7966009,668609.0,10680
1221.4495735218602,1.7555935,677405.0,11892
1224.9935183747004,1.7367523,686281.0,12582
1228.533150245208,1.719967,695317.0,13250
1232.068469133383,1.6922451,704063.0,14301
1235.5994750392251,1.6823628,713007.0,14816
1239.1261679627346,1.6641473,721330.0,15631
1242.648547903911,1.6653162,730030.0,15777
1246.1666148627553,1.6591861,737591.0,16167
1250.850661724252,1.6380094,746809.0,17187
1254.358665057653,1.6420667,753336.0,17176
1257.8623554087212,1.6398369,759907.0,17415
1261.3617327774568,1.6366831,766538.0,17695
1264.85679716386,1.6421263,774802.0,17663
1268.34754856793,1.6425943,784025.0,17854
1271.8339869896677,1.6321992,794336.0,18527
1275.3161124290723,1.6284878,804198.0,18918
1278.7939248861444,1.6293671,813836.0,19106
1282.2674243608838,1.6383108,823595.0,18941
1286.8920479102408,1.6274184,834533.0,19680
1290.3554837595373,1.626584,842581.0,19908
1293.8146066265008,1.6293147,849301.0,19941
1297.2694165111318,1.6288806,856026.0,20119
1300.71991341343,1.6336653,862498.0,20049
1304.1660973333956,1.6303523,868068.0,20333
1307.6079682710283,1.6328758,872869.0,20327
1311.0455262263285,1.6339298,877616.0,20388
